,area_type,availability,location,size,society,total_sqft,bath,balcony,price
11123,Built-up  Area,Ready To Move,Avalahalli,3 BHK,Sohea A,2045,3.0,2.0,108.0
11124,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,56.0
11125,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,39.0
11126,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1600,3.0,3.0,100.0
11127,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,70.0
11130,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Gasom B,1204,2.0,2.0,58.0
11131,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Dhndsh ,1410,2.0,1.0,54.0
11132,Built-up  Area,Ready To Move,Hennur Road,2 BHK,Elley B,1460,2.0,1.0,80.3
11134,Super built-up  Area,Ready To Move,Govindapura,2 BHK,AbarkVa,1310,2.0,1.0,88.0
11135,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,Putus L,1600,3.0,2.0,90.0
11137,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SJityaz,1665,3.0,2.0,74.93
11138,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,57.0
11140,Super built-up  Area,Ready To Move,Singasandra,2 BHK,SRensar,1416,2.0,2.0,67.0
11141,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2.0,2.0,46.0
11143,Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1231,3.0,2.0,58.0
11144,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Neite T,1664,3.0,0.0,73.95
11146,Built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,972,2.0,2.0,43.0
11151,Super built-up  Area,18-Dec,Balagere,2 BHK,Soresea,1007,2.0,1.0,68.0
11153,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1250,2.0,2.0,85.0
11155,Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,S2ionrn,994,2.0,1.0,42.28
11157,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220,2.0,2.0,46.0
11158,Super built-up  Area,Ready To Move,Hennur Gardens,2 BHK,PlhtsHe,1441,2.0,1.0,115.0
11159,Super built-up  Area,19-Mar,Old Madras Road,2 BHK,Saesttt,1157,2.0,2.0,47.32
11161,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1400,2.0,2.0,105.0
11173,Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,675,2.0,2.0,13.5
11174,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Atarebe,1430,2.0,2.0,78.0
11176,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2640,5.0,1.0,150.0
11177,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,42.0
11178,Super built-up  Area,18-Sep,Hennur Road,3 BHK,Shxorm ,1550 - 1590,3.0,0.0,75.99
11180,Built-up  Area,18-Feb,Sonnenahalli,2 BHK,Skacak ,1011,2.0,1.0,59.0
11181,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1450,2.0,1.0,102.0
11182,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1129,2.0,1.0,69.0
11183,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1126,2.0,1.0,36.0
11185,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1180,2.0,2.0,45.0
11188,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,1933,3.0,2.0,140.0
11191,Super built-up  Area,19-Dec,Anwar Layout,1 BHK,UKicte ,610,1.0,0.0,28.0
11193,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3.0,3.0,77.99
11200,Built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1864,3.0,2.0,120.0
11207,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,1200,2.0,1.0,62.0
11208,Built-up  Area,Ready To Move,GM Palaya,3 BHK,Srg Bnc,1735,3.0,2.0,70.0
11209,Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1750,3.0,3.0,172.0
11210,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2.0,2.0,56.0
11211,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1470,2.0,3.0,102.0
11213,Built-up  Area,Ready To Move,Singapura Village,2 BHK,Juoryma,985,2.0,1.0,45.0
11215,Super built-up  Area,18-Jun,Whitefield,2 BHK,Asarqz ,1277,2.0,1.0,77.0
11216,Super built-up  Area,18-May,Nallurhalli,2 BHK,CMoneoo,1100,2.0,1.0,62.0
11217,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1820,3.0,2.0,140.0
11219,Super built-up  Area,Ready To Move,Banashankari,3 BHK,PrdgeSo,1886,3.0,2.0,205.0
11221,Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1880,4.0,2.0,110.0
11222,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,2.0,52.35
11223,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0
11225,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1025,2.0,1.0,29.6
11226,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,ArsiaEx,3453,4.0,2.0,247.0
11229,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1850,3.0,2.0,140.0
11232,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3522,5.0,3.0,716.0
11233,Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1244,2.0,2.0,88.0
11235,Super built-up  Area,18-Dec,Kengeri Satellite Town,2 BHK,DSestSt,1025,2.0,1.0,28.57
11236,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,1034,2.0,1.0,38.0
11237,Super built-up  Area,18-Jan,Kengeri Satellite Town,3 BHK,DSestSt,1191,2.0,2.0,33.34
11238,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Maowsve,1719,3.0,2.0,71.0
11241,Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1470,2.0,2.0,84.22
11243,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,125.0
11246,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,3.0,2.0,170.0
11247,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1660,3.0,2.0,85.0
11248,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pao 3ow,1275,3.0,3.0,63.43
11252,Super built-up  Area,20-Oct,Banashankari Stage VI,3 BHK,Brens7 ,1392,3.0,1.0,69.46
11253,Super built-up  Area,18-Mar,Whitefield,2 BHK,Asarqz ,1245,2.0,1.0,59.76
11255,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1162,2.0,2.0,64.08
11256,Super built-up  Area,Ready To Move,Singasandra,3 BHK,EAvarum,1476,2.0,1.0,73.0
11259,Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,943,2.0,2.0,48.0
11261,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,VHinoel,1113,2.0,1.0,44.5
11262,Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1615,3.0,2.0,69.43
11263,Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,ETens G,1279,2.0,3.0,100.0
11266,Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1350,3.0,1.0,65.0
11268,Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2.0,1.0,123.0
11269,Super built-up  Area,19-Mar,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0
11270,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1777.26,3.0,2.0,92.0
11271,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,2.0,32.0
11273,Super built-up  Area,18-Sep,Varthur,2 BHK,Soamsay,1210,2.0,1.0,64.15
11275,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1879,3.0,2.0,155.0
11276,Super built-up  Area,17-Jun,Hosur Road,3 BHK,Collsrn,1250,2.0,2.0,50.0
11278,Super built-up  Area,19-Mar,Marathahalli,3 BHK,Unezes ,1108,2.0,1.0,60.0
11280,Super built-up  Area,19-Oct,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,75.0
11281,Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,2 BHK,SaaceSa,1185,2.0,1.0,42.66
11282,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,3.0,2.0,115.0
11284,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3.0,2.0,96.5
11285,Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1235 - 1410,3.0,0.0,40.985
11287,Built-up  Area,Ready To Move,Jalahalli,2 BHK,Prensin,1407,2.0,1.0,98.49
11288,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Shentnd,1000,2.0,2.0,50.0
11289,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Briumri,1518,3.0,3.0,75.0
11291,Super built-up  Area,18-May,Tumkur Road,2 BHK,Sahtsva,1027,2.0,1.0,67.0
11292,Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3730,6.0,2.0,430.0
11293,Built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2.0,2.0,46.0
11294,Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1260,2.0,2.0,113.0
11295,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,47.25
11296,Super built-up  Area,Ready To Move,Varthur,3 BHK,DSingSt,1737,2.0,1.0,57.32
11299,Built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1500,3.0,2.0,135.0
11302,Super built-up  Area,18-Dec,Hennur Road,2 BHK,Inaxyga,1030,2.0,1.0,46.5
11304,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Sulya A,1057,2.0,1.0,35.0
11305,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4.0,3.0,208.0
11306,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1460,2.0,2.0,38.5
11307,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1075,2.0,1.0,53.7
11309,Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3626,5.0,3.0,788.0
11311,Super built-up  Area,Ready To Move,Singasandra,2 BHK,SLowse ,1139.7,2.0,1.0,45.0
11312,Super built-up  Area,18-Jun,Whitefield,2 BHK,ARipsul,1074,2.0,1.0,42.8
11314,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Puallhi,2425,5.0,1.0,175.0
11315,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maantr ,1323,2.0,2.0,74.0
11316,Super built-up  Area,18-Aug,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,69.61
11317,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Prmesi ,900,2.0,1.0,40.0
11318,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1 BHK,Soe 2as,740,1.0,1.0,23.65
11319,Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1920,3.0,2.0,134.0
11321,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,96.0
11322,Super built-up  Area,Ready To Move,Gunjur,3 BHK,MyhtsHe,1588,2.0,3.0,90.0
11326,Super built-up  Area,Ready To Move,Hennur,3 BHK,MDncyhi,1340,2.0,2.0,54.27
11329,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1719,3.0,2.0,135.0
11330,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1107.83,2.0,1.0,41.51
11334,Super built-up  Area,18-Dec,Jakkur,3 BHK,BrdgeNo,1660,3.0,2.0,104.0
11335,Super built-up  Area,Ready To Move,Nagavara,2 BHK,K dotna,1247,2.0,1.0,58.56
11336,Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1595,3.0,2.0,96.0
11337,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,JaaldEm,1175,2.0,2.0,50.0
11339,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,VSletes,1184,2.0,1.0,78.0
11340,Super built-up  Area,Ready To Move,Byrasandra,2 BHK,Srhan P,1100,2.0,2.0,55.0
11342,Built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1200,2.0,2.0,60.0
11345,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,KBnnupu,1000,2.0,0.0,52.0
11346,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prensya,1705,3.0,2.0,85.0
11347,Built-up  Area,Ready To Move,Tumkur Road,3 BHK,Mairer ,1060,2.0,2.0,58.3
11348,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,120.0
11349,Super built-up  Area,17-Mar,Kammagondahalli,3 BHK,DiiteR ,1347,2.0,2.0,55.0
11351,Super built-up  Area,17-Dec,Varthur,2 BHK,Unris E,1402,2.0,2.0,95.0
11352,Super built-up  Area,18-Oct,Whitefield,3 BHK,Prtates,2280,4.0,2.0,125.0
11354,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Maodser,1080,2.0,1.0,53.0
11357,Built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1100,2.0,2.0,42.6
11358,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,DSndsod,2500,4.0,3.0,225.0
11359,Super built-up  Area,22-Jan,Bannerghatta Road,2 BHK,PrarePa,1200,2.0,2.0,78.0
11360,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,57.91
11363,Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2882,5.0,1.0,200.0
11365,Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,2180,3.0,3.0,273.0
11367,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,985,2.0,1.0,38.92
11368,Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,35.0
11370,Super built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Spity E,1449,3.0,1.0,72.0
11373,Super built-up  Area,Ready To Move,Hoskote,2 BHK,Soose P,929 - 1078,2.0,0.0,28.095
11377,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Prldsum,3009,3.0,2.0,330.0
11382,Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1300,2.0,3.0,95.0
11383,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Hahtsya,1220,2.0,2.0,60.0
11384,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SoniaEt,2289,3.0,2.0,178.0
11385,Super built-up  Area,18-Jan,Whitefield,2 BHK,Suhamra,1170,2.0,1.0,56.0
11387,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,45.0
11388,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1698,3.0,2.0,125.0
11389,Super built-up  Area,18-May,Electronic City Phase II,4 BHK,SNbay G,2150 - 2225,4.0,0.0,105.0
11391,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2.0,2.0,75.0
11392,Super built-up  Area,20-Dec,Padmanabhanagar,3 BHK,SollyCl,2051,3.0,1.0,180.0
11394,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1252,2.0,1.0,67.0
11398,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2500,3.0,3.0,340.0
11405,Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Suwerlo,970,2.0,1.0,52.5
11407,Super built-up  Area,19-Sep,Whitefield,3 BHK,DSersus,1520 - 1759,3.0,0.0,92.63
11410,Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,57.0
11411,Built-up  Area,Ready To Move,Harlur,3 Bedroom,Femes S,3425,3.0,1.0,320.0
11412,Built-up  Area,19-Mar,Hennur Road,4 Bedroom,Gollela,2950,4.0,3.0,253.0
11413,Super built-up  Area,18-Dec,Jalahalli,1 BHK,Vaniai ,1200,2.0,1.0,66.0
11415,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,4450,6.0,0.0,449.0
11416,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1166,2.0,1.0,64.08
11417,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,1.0,372.0
11419,Super built-up  Area,Ready To Move,Gulimangala,3 BHK,Daxir E,1690,3.0,3.0,50.0
11422,Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1732,3.0,1.0,85.73
11424,Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1095,2.0,1.0,85.41
11425,Super built-up  Area,19-Dec,Kengeri,1 BHK,VBn 2lm,416,1.0,1.0,17.19
11427,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1350,2.0,3.0,85.0
11429,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Moity S,1226,2.0,1.0,65.0
11431,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Dhniail,1168,2.0,1.0,68.0
11432,Super built-up  Area,19-Dec,Bannerghatta,3 BHK,Mamespa,1776,3.0,2.0,124.0
11433,Built-up  Area,Ready To Move,Whitefield,3 BHK,CMionsy,1634,3.0,2.0,68.0
11437,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190,2.0,1.0,70.0
11438,Super built-up  Area,18-Aug,JP Nagar,2 BHK,DSvvyx ,1133,2.0,1.0,33.99
11439,Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1559,3.0,2.0,62.0
11441,Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,6652,6.0,1.0,510.0
11442,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Prs 2hi,976,2.0,1.0,50.0
11445,Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2940,6.0,2.0,201.0
11446,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1633,3.0,2.0,110.0
11447,Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,46.0
11448,Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,DSdorSp,1400,2.0,2.0,42.0
11449,Super built-up  Area,17-Apr,Uttarahalli,2 BHK,DSera S,1037,2.0,1.0,36.0
11450,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1188,2.0,1.0,36.0
11451,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,Amnavdr,1060,2.0,1.0,52.0
11452,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,162.0
11455,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1075,2.0,1.0,53.7
11456,Super built-up  Area,17-Apr,Harlur,4 BHK,Prncyrn,2569,5.0,3.0,180.0
11458,Super built-up  Area,18-Aug,Kudlu Gate,2 BHK,Sanzaat,1183,2.0,1.0,79.54
11459,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Veyal V,1100,2.0,2.0,44.0
11462,Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1291,2.0,1.0,75.0
11464,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,55.0
11465,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2.0,2.0,110.0
11468,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1236,2.0,1.0,58.0
11470,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,326.0
11476,Super built-up  Area,18-Apr,Thanisandra,2 BHK,Bhmesy ,1056,2.0,1.0,75.0
11479,Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1850,3.0,2.0,110.0
11480,Super built-up  Area,Ready To Move,Amblipura,4 BHK,IDldsin,3150,4.0,3.0,180.0
11484,Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1185,2.0,2.0,30.22
11485,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,56.0
11487,Built-up  Area,Ready To Move,Munnekollal,3 BHK,Raisys ,1540,2.0,3.0,70.0
11488,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2.0,2.0,80.0
11490,Built-up  Area,19-Jun,Sarjapur,4 Bedroom,Caonand,2580 - 2591,4.0,0.0,115.0
11492,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Saageat,1345,2.0,2.0,106.0
11494,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,HMityld,1510,2.0,3.0,80.0
11498,Super built-up  Area,19-Dec,Yelahanka,1 BHK,Goues A,629 - 1026,1.0,0.0,42.535
11501,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,53.0
11502,Carpet  Area,19-Jun,Hormavu,4 BHK,Kolisl ,2282,4.0,0.0,115.0
11504,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Corix B,2172,3.0,0.0,100.0
11506,Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,BaisePa,600,2.0,1.0,72.0
11510,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1245,2.0,2.0,43.58
11512,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,VincyRe,1200,2.0,0.0,46.0
11516,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2100,3.0,2.0,200.0
11520,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3520,5.0,2.0,240.0
11521,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1041,2.0,2.0,54.0
11522,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1505,2.0,2.0,60.0
11523,Super built-up  Area,18-Jul,Bannerghatta,3 BHK,Mamespa,1776,3.0,2.0,150.0
11524,Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1767,3.0,2.0,89.0
11525,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Almid P,1293,2.0,2.0,80.0
11527,Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,Viowsen,1280,2.0,2.0,68.48
11528,Super built-up  Area,19-Mar,Thanisandra,2 BHK,Bhe 2ko,1245,2.0,1.0,83.05
11531,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,58.0
11533,Super built-up  Area,21-Dec,Kannamangala,3 BHK,Sonue A,1814,3.0,1.0,129.0
11534,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2.0,1.0,112.0
11536,Super built-up  Area,18-Jul,Kasavanhalli,3 BHK,Oca 2 V,1600,3.0,3.0,79.0
11540,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,60.98
11541,Super built-up  Area,Ready To Move,Ittamadu,3 BHK,Naory G,1475,3.0,3.0,75.0
11542,Super built-up  Area,Ready To Move,Electronic City,2 BHK,SJityVe,1353,2.0,3.0,75.0
11545,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800,4.0,3.0,550.0
11546,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2.0,1.0,96.0
11549,Built-up  Area,19-May,Thanisandra,4 BHK,G conTh,2695,4.0,3.0,188.0
11550,Super built-up  Area,Ready To Move,Hessarghatta,3 BHK,StwarSi,1330,3.0,2.0,65.0
11552,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Catle C,1400,2.0,3.0,90.0
11554,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1700,3.0,2.0,75.0
11555,Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Bhensa ,1585,2.0,2.0,90.0
11557,Super built-up  Area,18-Jul,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,67.0
11558,Plot  Area,19-Oct,Whitefield,4 Bedroom,NVaree ,60,4.0,2.0,218.0
11560,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,VaiewV ,1203,2.0,2.0,60.0
11561,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,Shbhi S,905,2.0,1.0,35.0
11562,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Orens G,1450,3.0,2.0,79.0
11563,Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,1105,2.0,3.0,38.0
11565,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Vanami ,1530,2.0,3.0,89.0
11566,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1105,2.0,1.0,35.4
11567,Super built-up  Area,18-Jul,Dasarahalli,2 BHK,KSliaor,1333,2.0,1.0,78.56
11571,Super built-up  Area,18-Dec,Old Madras Road,3 BHK,Saesttt,1530,3.0,2.0,76.34
11573,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1270,2.0,1.0,94.0
11574,Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1830,3.0,3.0,89.0
11576,Plot  Area,Ready To Move,Attibele,4 Bedroom,AGoutLa,2400,2.0,2.0,250.0
11578,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1450,2.0,2.0,78.0
11582,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.4
11583,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,SNeur G,1215 - 1495,2.0,0.0,73.17
11587,Built-up  Area,17-Jul,Electronic City,2 BHK,GMown E,1070,2.0,1.0,57.0
11588,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,1980,4.0,1.0,180.0
11589,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Niara S,842,2.0,2.0,30.0
11590,Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,Baanise,700,1.0,1.0,31.2
11593,Built-up  Area,Ready To Move,Dena Bank Colony,2 BHK,Chntsat,1100,2.0,2.0,75.0
11594,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,40.54
11595,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,85.0
11597,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,43.5
11599,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Priew P,1220,2.0,1.0,89.0
11600,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,3.0,51.91
